,level_0,index,District_Key,District
228,228,343,MP_Guna,guna
229,229,7,AP_Guntur,guntur
230,230,500,PB_Gurdaspur,gurdaspur
231,231,205,HR_Gurugram,gurugram
232,232,344,MP_Gwalior,gwalior
233,233,57,AS_Hailakandi,hailakandi
234,234,672,UP_Hamirpur,hamirpur
235,235,529,RJ_Hanumangarh,hanumangarh
236,236,673,UP_Hapur,hapur
237,237,345,MP_Harda,harda
238,238,674,UP_Hardoi,hardoi
239,239,719,UT_Haridwar,haridwar
240,240,294,KA_Hassan,hassan
241,241,675,UP_Hathras,hathras
242,242,295,KA_Haveri,haveri
243,243,264,JH_Hazaribagh,hazaribagh
244,244,388,MH_Hingoli,hingoli
245,245,206,HR_Hisar,hisar
246,246,58,AS_Hojai,hojai
247,247,737,WB_Hooghly,hooghly
248,248,346,MP_Hoshangabad,hoshangabad
249,249,501,PB_Hoshiarpur,hoshiarpur
250,250,738,WB_Howrah,howrah
251,251,600,TG_Hyderabad,hyderabad
252,252,311,KL_Idukki,idukki
253,253,415,MN_Imphal East,imphal east
254,254,416,MN_Imphal West,imphal west
255,255,347,MP_Indore,indore
256,256,348,MP_Jabalpur,jabalpur
257,257,470,OR_Jagatsinghpur,jagatsinghpur
258,258,601,TG_Jagtial,jagtial
259,259,530,RJ_Jaipur,jaipur
260,260,532,RJ_Jaisalmer,jaisalmer
261,261,471,OR_Jajpur,jajpur
262,262,502,PB_Jalandhar,jalandhar
263,263,676,UP_Jalaun,jalaun
264,264,389,MH_Jalgaon,jalgaon
265,265,390,MH_Jalna,jalna
266,266,533,RJ_Jalore,jalore
267,267,739,WB_Jalpaiguri,jalpaiguri
268,268,240,JK_Jammu,jammu
269,269,176,GJ_Jamnagar,jamnagar
270,270,265,JH_Jamtara,jamtara
271,271,88,BR_Jamui,jamui
272,272,602,TG_Jangaon,jangaon
273,273,127,CT_Janjgir Champa,janjgir champa
274,274,128,CT_Jashpur,jashpur
275,275,677,UP_Jaunpur,jaunpur
276,276,603,TG_Jayashankar Bhupalapally,jayashankar bhupalapally
277,277,89,BR_Jehanabad,jehanabad
278,278,349,MP_Jhabua,jhabua
279,279,207,HR_Jhajjar,jhajjar
280,280,534,RJ_Jhalawar,jhalawar
281,281,678,UP_Jhansi,jhansi
282,282,740,WB_Jhargram,jhargram
283,283,472,OR_Jharsuguda,jharsuguda
284,284,535,RJ_Jhunjhunu,jhunjhunu
285,285,208,HR_Jind,jind
286,286,417,MN_Jiribam,jiribam
287,287,536,RJ_Jodhpur,jodhpur
288,288,604,TG_Jogulamba Gadwal,jogulamba gadwal
289,289,59,AS_Jorhat,jorhat
290,290,179,GJ_Junagadh,junagadh
291,291,130,CT_Kabeerdham,kabeerdham
292,292,90,BR_Kaimur,kaimur
293,293,209,HR_Kaithal,kaithal
294,294,418,MN_Kakching,kakching
295,295,293,KA_Kalaburagi,kalaburagi
296,296,473,OR_Kalahandi,kalahandi
297,297,741,WB_Kalimpong,kalimpong
298,298,564,TN_Kallakurichi,kallakurichi
299,299,605,TG_Kamareddy,kamareddy
300,300,419,MN_Kamjong,kamjong
301,301,23,AR_Kamle,kamle
302,302,61,AS_Kamrup,kamrup
303,303,60,AS_Kamrup Metropolitan,kamrup metropolitan
304,304,565,TN_Kancheepuram,kancheepuram
305,305,474,OR_Kandhamal,kandhamal
306,306,420,MN_Kangpokpi,kangpokpi
307,307,225,HP_Kangra,kangra
308,308,679,UP_Kannauj,kannauj
309,309,312,KL_Kannur,kannur
310,310,680,UP_Kanpur Dehat,kanpur dehat
311,311,681,UP_Kanpur Nagar,kanpur nagar
312,312,566,TN_Kanyakumari,kanyakumari
313,313,503,PB_Kapurthala,kapurthala
314,314,489,PY_Karaikal,karaikal
315,315,537,RJ_Karauli,karauli
316,316,62,AS_Karbi Anglong,karbi anglong
317,317,323,LA_Kargil,kargil
318,318,63,AS_Karimganj,karimganj
319,319,606,TG_Karimnagar,karimnagar
320,320,210,HR_Karnal,karnal
321,321,567,TN_Karur,karur
322,322,313,KL_Kasaragod,kasaragod
323,323,682,UP_Kasganj,kasganj
324,324,241,JK_Kathua,kathua
325,325,91,BR_Katihar,katihar
326,326,350,MP_Katni,katni
327,327,683,UP_Kaushambi,kaushambi
328,328,475,OR_Kendrapara,kendrapara
329,329,476,OR_Kendujhar,kendujhar
330,330,92,BR_Khagaria,khagaria
331,331,607,TG_Khammam,khammam
332,332,351,MP_Khandwa,khandwa
333,333,352,MP_Khargone,khargone
334,334,180,GJ_Kheda,kheda
335,335,477,OR_Khordha,khordha
336,336,633,TR_Khowai,khowai
337,337,266,JH_Khunti,khunti
338,338,226,HP_Kinnaur,kinnaur
339,339,449,NL_Kiphire,kiphire
340,340,93,BR_Kishanganj,kishanganj
341,341,242,JK_Kishtwar,kishtwar
342,342,296,KA_Kodagu,kodagu
343,343,267,JH_Koderma,koderma
344,344,450,NL_Kohima,kohima
345,345,64,AS_Kokrajhar,kokrajhar
346,346,297,KA_Kolar,kolar
347,347,442,MZ_Kolasib,kolasib
348,348,391,MH_Kolhapur,kolhapur
349,349,742,WB_Kolkata,kolkata
350,350,314,KL_Kollam,kollam
351,351,608,TG_Komaram Bheem,komaram bheem
352,352,131,CT_Kondagaon,kondagaon
353,353,298,KA_Koppal,koppal
354,354,478,OR_Koraput,koraput
355,355,132,CT_Korba,korba
356,356,133,CT_Koriya,koriya
357,357,538,RJ_Kota,kota
358,358,315,KL_Kottayam,kottayam
359,359,316,KL_Kozhikode,kozhikode
360,360,24,AR_Kra Daadi,kra daadi
361,361,8,AP_Krishna,krishna
362,362,569,TN_Krishnagiri,krishnagiri
363,363,243,JK_Kulgam,kulgam
364,364,227,HP_Kullu,kullu
365,365,244,JK_Kupwara,kupwara
366,366,9,AP_Kurnool,kurnool
367,367,211,HR_Kurukshetra,kurukshetra
368,368,25,AR_Kurung Kumey,kurung kumey
369,369,684,UP_Kushinagar,kushinagar
370,370,181,GJ_Kutch,kutch
371,371,228,HP_Lahul and Spiti,lahul and spiti
372,372,65,AS_Lakhimpur,lakhimpur
373,373,685,UP_Lakhimpur Kheri,lakhimpur kheri
374,374,94,BR_Lakhisarai,lakhisarai
375,375,325,LD_Lakshadweep,lakshadweep
376,376,686,UP_Lalitpur,lalitpur
377,377,268,JH_Latehar,latehar
378,378,392,MH_Latur,latur
379,379,443,MZ_Lawngtlai,lawngtlai
380,380,324,LA_Leh,leh
381,381,26,AR_Lepa Rada,lepa rada
382,382,269,JH_Lohardaga,lohardaga
383,383,27,AR_Lohit,lohit
384,384,28,AR_Longding,longding
385,385,451,NL_Longleng,longleng
386,386,29,AR_Lower Dibang Valley,lower dibang valley
387,387,30,AR_Lower Siang,lower siang
388,388,31,AR_Lower Subansiri,lower subansiri
389,389,687,UP_Lucknow,lucknow
390,390,504,PB_Ludhiana,ludhiana
391,391,444,MZ_Lunglei,lunglei
392,392,95,BR_Madhepura,madhepura
393,393,96,BR_Madhubani,madhubani
394,394,570,TN_Madurai,madurai
395,395,609,TG_Mahabubabad,mahabubabad
396,396,610,TG_Mahabubnagar,mahabubnagar
397,397,688,UP_Maharajganj,maharajganj
398,398,134,CT_Mahasamund,mahasamund
399,399,490,PY_Mahe,mahe
400,400,212,HR_Mahendragarh,mahendragarh
401,401,182,GJ_Mahisagar,mahisagar
402,402,689,UP_Mahoba,mahoba
403,403,690,UP_Mainpuri,mainpuri
404,404,66,AS_Majuli,majuli
405,405,317,KL_Malappuram,malappuram
406,406,743,WB_Malda,malda
407,407,479,OR_Malkangiri,malkangiri
408,408,445,MZ_Mamit,mamit
409,409,611,TG_Mancherial,mancherial
410,410,229,HP_Mandi,mandi
411,411,353,MP_Mandla,mandla
412,412,354,MP_Mandsaur,mandsaur
413,413,299,KA_Mandya,mandya
414,414,505,PB_Mansa,mansa
415,415,691,UP_Mathura,mathura
416,416,692,UP_Mau,mau
417,417,480,OR_Mayurbhanj,mayurbhanj
418,418,612,TG_Medak,medak
419,419,613,TG_Medchal Malkajgiri,medchal malkajgiri
420,420,693,UP_Meerut,meerut
421,421,183,GJ_Mehsana,mehsana
422,422,694,UP_Mirzapur,mirzapur
423,423,506,PB_Moga,moga
424,424,452,NL_Mokokchung,mokokchung
425,425,453,NL_Mon,mon
426,426,695,UP_Moradabad,moradabad
427,427,184,GJ_Morbi,morbi
428,428,355,MP_Morena,morena
429,429,67,AS_Morigaon,morigaon
430,430,614,TG_Mulugu,mulugu
431,431,393,MH_Mumbai,mumbai
432,432,135,CT_Mungeli,mungeli
433,433,97,BR_Munger,munger
434,434,744,WB_Murshidabad,murshidabad
435,435,696,UP_Muzaffarnagar,muzaffarnagar
436,436,98,BR_Muzaffarpur,muzaffarpur
437,437,300,KA_Mysuru,mysuru
438,438,481,OR_Nabarangapur,nabarangapur
439,439,745,WB_Nadia,nadia
440,440,68,AS_Nagaon,nagaon
441,441,571,TN_Nagapattinam,nagapattinam
442,442,615,TG_Nagarkurnool,nagarkurnool
443,443,539,RJ_Nagaur,nagaur
444,444,394,MH_Nagpur,nagpur
445,445,720,UT_Nainital,nainital
446,446,99,BR_Nalanda,nalanda
447,447,69,AS_Nalbari,nalbari
448,448,616,TG_Nalgonda,nalgonda
449,449,572,TN_Namakkal,namakkal
450,450,32,AR_Namsai,namsai
451,451,395,MH_Nanded,nanded
452,452,396,MH_Nandurbar,nandurbar
453,453,617,TG_Narayanpet,narayanpet
454,454,136,CT_Narayanpur,narayanpur
455,455,185,GJ_Narmada,narmada
456,456,356,MP_Narsinghpur,narsinghpur
457,457,397,MH_Nashik,nashik
458,458,186,GJ_Navsari,navsari
459,459,100,BR_Nawada,nawada
460,460,482,OR_Nayagarh,nayagarh
461,461,357,MP_Neemuch,neemuch
462,462,148,DL_New Delhi,new delhi
463,463,1,AN_Nicobars,nicobars
464,464,573,TN_Nilgiris,nilgiris
465,465,618,TG_Nirmal,nirmal
466,466,619,TG_Nizamabad,nizamabad
467,467,421,MN_Noney,noney
468,468,729,WB_North 24 Parganas,north 24 parganas
469,469,2,AN_North and Middle Andaman,north and middle andaman
470,470,149,DL_North Delhi,north delhi
471,471,150,DL_North East Delhi,north east delhi
472,472,431,ML_North Garo Hills,north garo hills
473,473,157,GA_North Goa,north goa
474,474,550,SK_North Sikkim,north sikkim
475,475,634,TR_North Tripura,north tripura
476,476,151,DL_North West Delhi,north west delhi
477,477,483,OR_Nuapada,nuapada
478,478,213,HR_Nuh,nuh
479,479,398,MH_Osmanabad,osmanabad
480,480,33,AR_Pakke Kessang,pakke kessang
481,481,270,JH_Pakur,pakur
482,482,318,KL_Palakkad,palakkad
483,483,271,JH_Palamu,palamu
484,484,399,MH_Palghar,palghar
485,485,540,RJ_Pali,pali
486,486,214,HR_Palwal,palwal
487,487,215,HR_Panchkula,panchkula
488,488,187,GJ_Panchmahal,panchmahal
489,489,216,HR_Panipat,panipat
490,490,358,MP_Panna,panna
491,491,22,AR_Papum Pare,papum pare
492,492,400,MH_Parbhani,parbhani
493,493,754,WB_Paschim Bardhaman,paschim bardhaman
494,494,748,WB_Paschim Medinipur,paschim medinipur
495,495,188,GJ_Patan,patan
496,496,319,KL_Pathanamthitta,pathanamthitta
497,497,507,PB_Pathankot,pathankot
498,498,508,PB_Patiala,patiala
499,499,101,BR_Patna,patna
500,500,721,UT_Pauri Garhwal,pauri garhwal
501,501,620,TG_Peddapalli,peddapalli
502,502,576,TN_Perambalur,perambalur
503,503,454,NL_Peren,peren
504,504,455,NL_Phek,phek
