,District_Key,District
697,AP_Vizianagaram,vizianagaram
698,TG_Wanaparthy,wanaparthy
699,TG_Warangal Rural,warangal rural
700,TG_Warangal Urban,warangal urban
701,MH_Wardha,wardha
702,MH_Washim,washim
703,KL_Wayanad,wayanad
704,BR_West Champaran,west champaran
705,DL_West Delhi,west delhi
706,ML_West Garo Hills,west garo hills
707,AP_West Godavari,west godavari
708,ML_West Jaintia Hills,west jaintia hills
709,AR_West Kameng,west kameng
710,AS_West Karbi Anglong,west karbi anglong
711,ML_West Khasi Hills,west khasi hills
712,AR_West Siang,west siang
713,SK_West Sikkim,west sikkim
714,JH_West Singhbhum,west singhbhum
715,TR_West Tripura,west tripura
716,NL_Wokha,wokha
717,AP_Y.S.R. Kadapa,y.s.r. kadapa
718,TG_Yadadri Bhuvanagiri,yadadri bhuvanagiri
719,KA_Yadgir,yadgir
720,HR_Yamunanagar,yamunanagar
721,PY_Yanam,yanam
722,MH_Yavatmal,yavatmal
723,NL_Zunheboto,zunheboto
724,,
