,test,test
157,dhalai 2086546,MP_Dewas
158,dhamtari 100190,TR_Dhalai
159,dhanbad 2240791,CT_Dhamtari
160,dhar 2299069,JH_Dhanbad
161,dharmapuri  15152,MP_Dhar
162,dharwad  1790904,TN_Dharmapuri
163,dhaulpur 1207709,KA_Dharwad
164,dhemaji 42473,AS_Dhemaji
165,dhenkanal 1948389,OR_Dhenkanal
166,dhubri 42485,RJ_Dholpur
167,dhule 1797383,AS_Dhubri
168,dibrugarh 42479,MH_Dhule
169,dima hasao  42774,AS_Dibrugarh
170,dimapur 634262,AS_Dima Hasao
171,dindigul  15154,NL_Dimapur
172,dindori 2398551,TN_Dindigul
173,diu 631849,MP_Dindori
174,doda 2298979,DN_Diu
175,dumka 2577657,JK_Doda
176,dungarpur 1265687,JH_Dumka
177,durg 100182,RJ_Dungarpur
178,east delhi 107960,CT_Durg
179,east garo hills 2085455,BR_East Champaran
180,east godavari 15338,DL_East Delhi
181,east jaintia hills 15923776,ML_East Garo Hills
182,east kameng 15424,AP_East Godavari
183,east karbi anglong 42558,ML_East Jaintia Hills
184,east khasi hills 1945304,AR_East Kameng
185,east siang 15419,ML_East Khasi Hills
186,east sikkim  1772832,AR_East Siang
187,ernakulam 1356097,SK_East Sikkim
188,erode  15155,JH_East Singhbhum
189,etah 1773429,KL_Ernakulam
190,etawah 1815288,TN_Erode
191,faizabad 1814132,UP_Etah
192,faridabad 2086173,UP_Etawah
193,faridkot 172494,HR_Faridabad
194,farrukhabad 1897251,PB_Faridkot
195,fategarh sahib 172485,UP_Farrukhabad
196,fatehabad 2301753,HR_Fatehabad
197,fatehpur 1946829,PB_Fatehgarh Sahib
198,fazilka 188702,UP_Fatehpur
199,firozabad 1946950,PB_Fazilka
200,firozpur 172385,PB_Ferozepur
201,gadag  2353931,UP_Firozabad
202,gadchiroli 1804847,KA_Gadag
203,gajapati 1947292,MH_Gadchiroli
204,ganderbal 2556028,OR_Gajapati
205,gandhinagar  1772860,JK_Ganderbal
206,ganjam 776213,GJ_Gandhinagar
207,garhwa 2302076,RJ_Ganganagar
208,gariaband 16961365,OR_Ganjam
209,gautam buddha nagar 1785950,JH_Garhwa
210,gaya 49173,CT_Gariaband
211,ghaziabad 1773444,CT_Gaurela Pendra Marwahi
212,ghazipur 1287993,UP_Gautam Buddha Nagar
213,gir somnath  15244465,BR_Gaya
214,giridih 2302065,UP_Ghaziabad
215,goalpara 42522,UP_Ghazipur
216,godda 638980,GJ_Gir Somnath
217,golaghat 42517,JH_Giridih
218,gomati 16086497,AS_Goalpara
219,gonda 1937857,JH_Godda
220,gondiya 1917227,AS_Golaghat
221,gopalganj 49171,TR_Gomati
222,gorakhpur 1144349,UP_Gonda
223,gumla 2295865,MH_Gondia
224,guna 930027,BR_Gopalganj
225,guntur 15341,UP_Gorakhpur
226,gurdaspur 146708,JH_Gumla
227,gurugram 1815766,MP_Guna
228,gwalior 2085310,AP_Guntur
229,hailakandi 42505,PB_Gurdaspur
230,hamirpur 2019757,HR_Gurugram
231,hamirpur 2086180,MP_Gwalior
232,hanumangarh 1356112,AS_Hailakandi
233,hapur 5653340,UP_Hamirpur
234,harda 2173003,RJ_Hanumangarh
235,hardoi 1772822,UP_Hapur
236,haridwar 2270438,MP_Harda
237,hassan  956732,UP_Hardoi
