,test,test
677,ukhrul 735101,TR_Unokoti
678,umaria 620297,AR_Upper Dibang Valley
679,una 2301741,AR_Upper Siang
680,unnao 1937875,AR_Upper Subansiri
681,unokoti 16087996,CT_Uttar Bastar Kanker
682,upper dibang valley 15446,WB_Uttar Dinajpur
683,upper siang 15465,KA_Uttara Kannada
684,upper subansiri 15464,UT_Uttarkashi
685,uttar bastar kanker 2310530,GJ_Vadodara
686,uttar dinajpur 2019766,BR_Vaishali
687,uttara kannada 579205,GJ_Valsad
688,uttarkashi 1773437,UP_Varanasi
689,vadodara  578285,TN_Vellore
690,vaishali 100130,MP_Vidisha
691,valsad 1946743,KA_Vijayapura
692,varanasi 1321140,TG_Vikarabad
693,vellore  15206,TN_Viluppuram
694,vidisha 1815253,TN_Virudhunagar
695,vikarabad 28170173,AP_Visakhapatnam
696,viluppuram  15205,AP_Vizianagaram
697,virudhunagar  15209,TG_Wanaparthy
698,visakhapatnam 15394,TG_Warangal Rural
699,vizianagaram 15392,TG_Warangal Urban
700,wanaparthy 28172504,MH_Wardha
701,warangal rural 28169759,MH_Washim
702,warangal urban 213077,KL_Wayanad
703,wardha 980608,BR_West Champaran
704,washim 1804858,DL_West Delhi
705,wayanad 1364427,ML_West Garo Hills
706,west delhi 549807,AP_West Godavari
707,west garo hills 2329181,ML_West Jaintia Hills
708,west godavari 15404,AR_West Kameng
709,west jaintia hills 1920789,AS_West Karbi Anglong
710,west kameng  15459,ML_West Khasi Hills
711,west karbi anglong 24949218,AR_West Siang
712,west khasi hills 2064752,SK_West Sikkim
713,west siang 15453,JH_West Singhbhum
714,west sikkim  611357,TR_West Tripura
715,west tripura 1947570,NL_Wokha
716,wokha 681821,AP_Y.S.R. Kadapa
717,yadadri bhuvanagiri 28169764,TG_Yadadri Bhuvanagiri
718,yadagiri  1786949,KA_Yadgir
719,yamunanagar 1873644,HR_Yamunanagar
720,yavatmal 1804852,PY_Yanam
721,ysr 15342,MH_Yavatmal
722,zunheboto 2091461,NL_Zunheboto
723,,
