0,1
ct_bilaspur,udham singh nagar 
or_bargarh,pilibhit 
or_bargarh,rampur 
or_bargarh,shahjahanpur 
or_bargarh,budaun 
or_bargarh,udham singh nagar 
nl_mon,sambhal 
nl_mon,bijnor 
nl_mon,rampur 
nl_mon,jyotiba phule nagar 
nl_mon,budaun 
nl_mon,udham singh nagar 
mp_ratlam,moradabad 
mp_ratlam,udham singh nagar 
mp_ratlam,bareilly 
mp_ratlam,budaun 
ut_pithoragarh,kheri 
ut_pithoragarh,udham singh nagar 
ut_pithoragarh,bareilly 
ut_pithoragarh,shahjahanpur 
up_hapur,bijnor 
up_hapur,dehradun 
up_hapur,muzaffarnagar 
up_hapur,saharanpur 
up_hapur,pauri garhwal 
up_muzaffarnagar,haridwar 
up_muzaffarnagar,bijnor 
up_muzaffarnagar,shamli 
up_muzaffarnagar,saharanpur 
up_muzaffarnagar,meerut 
up_muzaffarnagar,baghpat 
tn_thiruvarur,malappuram 
tn_thiruvarur,erode  
tn_thiruvarur,chamarajanagar  
tn_thiruvarur,wayanad 
tn_thiruvarur,coimbatore  
tn_thiruvarur,palghat 
tn_coimbatore,thrissur 
tn_coimbatore,erode  
tn_coimbatore,ernakulam 
tn_coimbatore,idukki 
tn_coimbatore,tiruppur 
tn_coimbatore,the nilgiris  
tn_coimbatore,palghat 
sk_east sikkim,karur  
sk_east sikkim,chamarajanagar  
sk_east sikkim,tiruppur 
sk_east sikkim,the nilgiris  
sk_east sikkim,coimbatore  
sk_east sikkim,namakkal  
sk_east sikkim,salem  
sk_east sikkim,dharmapuri  
jh_palamu,thrissur 
jh_palamu,malappuram 
jh_palamu,the nilgiris  
jh_palamu,coimbatore  
as_majuli,thrissur 
as_majuli,kozhikode 
as_majuli,wayanad 
as_majuli,the nilgiris  
as_majuli,palghat 
dl_west delhi,kodagu 
dl_west delhi,mysuru  
dl_west delhi,malappuram 
dl_west delhi,kannur  
dl_west delhi,chamarajanagar  
dl_west delhi,kozhikode 
dl_west delhi,the nilgiris  
hp_chamba,mysuru  
hp_chamba,krishnagiri 
hp_chamba,erode  
hp_chamba,ramanagara  
hp_chamba,wayanad 
hp_chamba,the nilgiris  
hp_chamba,mandya  
hp_chamba,salem  
hp_chamba,dharmapuri  
mh_jalgaon,darjeeling 
mh_jalgaon,kalimpong 
mh_jalgaon,alipurduar 
mh_jalgaon,kochbihar 
br_kishanganj,dhubri 
br_kishanganj,jalpaiguri 
br_kishanganj,alipurduar 
br_kishanganj,kokrajhar 
gj_dang,uttar dinajpur 
gj_dang,kalimpong 
gj_dang,south sikkim  
gj_dang,west sikkim  
gj_dang,kishanganj 
gj_dang,jalpaiguri 
wb_alipurduar,jalpaiguri 
wb_alipurduar,kochbihar 
wb_alipurduar,kokrajhar 
ka_kalaburagi,darjeeling 
ka_kalaburagi,south sikkim  
ka_kalaburagi,jalpaiguri 
ka_kalaburagi,east sikkim  
mz_lunglei,saharsa 
mz_lunglei,sitamarhi 
mz_lunglei,supaul 
mz_lunglei,darbhanga 
jh_sahibganj,khagaria 
jh_sahibganj,supaul 
jh_sahibganj,darbhanga 
jh_sahibganj,samastipur 
jh_sahibganj,madhubani 
jh_sahibganj,madhepura 
mp_damoh,muzaffarpur 
mp_damoh,samastipur 
mp_damoh,madhubani 
mp_damoh,saharsa 
mp_damoh,sitamarhi 
gj_surendranagar,madhubani 
gj_surendranagar,saharsa 
gj_surendranagar,madhepura 
gj_surendranagar,araria 
as_sivasagar,sheohar 
as_sivasagar,muzaffarpur 
as_sivasagar,darbhanga 
as_sivasagar,madhubani 
as_sivasagar,purba champaran 
pb_ludhiana,khagaria 
pb_ludhiana,supaul 
pb_ludhiana,saharsa 
pb_ludhiana,bhagalpur 
pb_ludhiana,purnia 
pb_ludhiana,araria 
up_kaushambi,munger 
up_kaushambi,begusarai 
up_kaushambi,samastipur 
up_kaushambi,saharsa 
up_kaushambi,madhepura 
up_kaushambi,bhagalpur 
up_sambhal,muzaffarpur 
up_sambhal,khagaria 
up_sambhal,darbhanga 
up_sambhal,vaishali 
up_sambhal,begusarai 
up_sambhal,saharsa 
up_sambhal,patna 
br_muzaffarpur,sheohar 
br_muzaffarpur,gopalganj 
br_muzaffarpur,darbhanga 
br_muzaffarpur,vaishali 
br_muzaffarpur,samastipur 
br_muzaffarpur,purba champaran 
br_muzaffarpur,sitamarhi 
br_muzaffarpur,saran 
mp_anuppur,purnia 
mp_anuppur,kishanganj 
mp_anuppur,madhepura 
mp_anuppur,supaul 
br_purnia,pashchim champaran 
br_purnia,sheohar 
br_purnia,muzaffarpur 
br_purnia,gopalganj 
br_purnia,sitamarhi 
mp_shivpuri,purba champaran 
mp_shivpuri,sitamarhi 
mp_shivpuri,muzaffarpur 
wb_paschim medinipur,mahrajganj 
wb_paschim medinipur,purba champaran 
wb_paschim medinipur,gopalganj 
wb_paschim medinipur,kushinagar 
as_golaghat,pashchim champaran 
as_golaghat,deoria 
as_golaghat,kushinagar 
as_golaghat,muzaffarpur 
as_golaghat,siwan 
as_golaghat,purba champaran 
as_golaghat,saran 
ap_anantapur,ramban 
ap_anantapur,kishtwar 
ap_anantapur,kargil  
ap_anantapur,doda 
ap_anantapur,ganderbal 
ap_anantapur,shopian 
ap_anantapur,pulwama 
ap_anantapur,kulgam 
ap_anantapur,srinagar 
up_banda,kupwara 
up_banda,kargil  
up_banda,baramula 
up_banda,ganderbal 
up_banda,srinagar 
mh_gadchiroli,bandipora 
mh_gadchiroli,anantnag 
mh_gadchiroli,srinagar 
mh_gadchiroli,kargil  
nl_kohima,alipurduar 
nl_kohima,dhubri 
nl_kohima,kochbihar 
nl_kohima,bongaigaon 
nl_kohima,chirang 
or_dhenkanal,kochbihar 
or_dhenkanal,goalpara 
or_dhenkanal,bongaigaon 
or_dhenkanal,south salmara-mankachar 
or_dhenkanal,kokrajhar 
up_budaun,dhubri 
up_budaun,barpeta 
up_budaun,goalpara 
up_budaun,kokrajhar 
up_budaun,chirang 
as_chirang,bongaigaon 
as_chirang,baksa 
as_chirang,barpeta 
as_chirang,kokrajhar 
gj_dahod,maldah 
gj_dahod,uttar dinajpur 
gj_vadodara,maldah 
gj_vadodara,katihar 
gj_vadodara,purnia 
gj_vadodara,darjeeling 
gj_vadodara,dakshin dinajpur 
gj_vadodara,kishanganj 
kl_malappuram,murshidabad 
kl_malappuram,uttar dinajpur 
kl_malappuram,katihar 
kl_malappuram,dakshin dinajpur 
kl_malappuram,sahibganj 
hp_kinnaur,darjeeling 
hp_kinnaur,purnia 
hp_kinnaur,uttar dinajpur 
hp_kinnaur,araria 
ml_south west garo hills,kalimpong 
ml_south west garo hills,north sikkim  
ml_south west garo hills,west sikkim  
ml_south west garo hills,east sikkim  
ml_south west garo hills,darjeeling 
jh_west singhbhum,darjeeling 
jh_west singhbhum,south sikkim  
jh_west singhbhum,north sikkim  
mh_raigad,uttar dinajpur 
mh_raigad,katihar 
mh_raigad,madhepura 
mh_raigad,bhagalpur 
mh_raigad,kishanganj 
mh_raigad,araria 
kl_kasaragod,maldah 
kl_kasaragod,uttar dinajpur 
kl_kasaragod,bhagalpur 
kl_kasaragod,purnia 
kl_kasaragod,sahibganj 
ml_east khasi hills,south sikkim  
ml_east khasi hills,kalimpong 
ml_east khasi hills,north sikkim  
ga_north goa,south sikkim  
ga_north goa,west sikkim  
ga_north goa,east sikkim  
mp_barwani,baksa 
mp_barwani,nalbari 
mp_barwani,goalpara 
mp_barwani,bongaigaon 
mp_barwani,kamrup 
mp_barwani,chirang 
up_ghaziabad,west garo hills 
up_ghaziabad,north garo hills 
up_ghaziabad,dhubri 
up_ghaziabad,barpeta 
up_ghaziabad,bongaigaon 
up_ghaziabad,kamrup 
up_ghaziabad,south salmara-mankachar 
as_nalbari,baksa 
as_nalbari,kamrup 
as_nalbari,barpeta 
mn_kamjong,kamrup metropolitan 
mn_kamjong,baksa 
mn_kamjong,north garo hills 
mn_kamjong,nalbari 
mn_kamjong,darrang 
mn_kamjong,barpeta 
mn_kamjong,goalpara 
mn_kamjong,west khasi hills 
mn_kamjong,ri-bhoi 
as_baksa,nalbari 
as_baksa,darrang 
as_baksa,barpeta 
as_baksa,udalguri 
as_baksa,kamrup 
as_baksa,chirang 
br_darbhanga,kamrup metropolitan 
br_darbhanga,baksa 
br_darbhanga,marigaon 
br_darbhanga,udalguri 
br_darbhanga,sonitpur 
br_darbhanga,kamrup 
pb_mansa,kamrup metropolitan 
pb_mansa,west karbi anglong 
pb_mansa,darrang 
pb_mansa,ri-bhoi 
pb_mansa,sonitpur 
pb_mansa,nagaon 
dl_south east delhi,darrang 
dl_south east delhi,pakke kessang None
dl_south east delhi,west kameng  
dl_south east delhi,marigaon 
dl_south east delhi,bishwanath 
dl_south east delhi,udalguri 
dl_south east delhi,nagaon 
ka_udupi,sonitpur 
ka_udupi,west kameng  
ka_udupi,baksa 
ka_udupi,darrang 
ar_kamle,marigaon 
ar_kamle,kamrup 
ar_kamle,darrang 
ar_kamle,ri-bhoi 
ut_rudraprayag,west jaintia hills 
ut_rudraprayag,kamrup metropolitan 
ut_rudraprayag,west karbi anglong 
ut_rudraprayag,west khasi hills 
ut_rudraprayag,marigaon 
ut_rudraprayag,east khasi hills 
ut_rudraprayag,kamrup 
ar_west siang,north garo hills 
ar_west siang,south west khasi hills 
ar_west siang,east garo hills 
ar_west siang,ri-bhoi 
ar_west siang,east khasi hills 
ar_west siang,kamrup 
ar_west siang,south garo hills 
dl_north east delhi,west garo hills 
dl_north east delhi,goalpara 
dl_north east delhi,west khasi hills 
dl_north east delhi,east garo hills 
dl_north east delhi,kamrup 
dl_north east delhi,south salmara-mankachar 
wb_murshidabad,maldah 
wb_murshidabad,birbhum 
wb_murshidabad,purba bardhaman 
wb_murshidabad,pakaur 
wb_murshidabad,sahibganj 
wb_murshidabad,nadia 
mz_saiha,maldah 
mz_saiha,murshidabad 
mz_saiha,katihar 
mz_saiha,bhagalpur 
mz_saiha,pakaur 
mz_saiha,godda 
br_bhagalpur,godda 
br_bhagalpur,munger 
br_bhagalpur,khagaria 
br_bhagalpur,banka 
br_bhagalpur,katihar 
br_bhagalpur,madhepura 
br_bhagalpur,purnia 
br_bhagalpur,sahibganj 
pb_barnala,pali 
pb_barnala,jaisalmer 
pb_barnala,jodhpur 
pb_barnala,kutch  
pb_barnala,jalor 
up_jalaun,pali 
up_jalaun,banas kantha  
up_jalaun,sirohi 
up_jalaun,barmer 
up_jalaun,kutch  
rj_jhunjhunu,pali 
rj_jhunjhunu,jaisalmer 
rj_jhunjhunu,nagaur 
rj_jhunjhunu,bikaner 
rj_jhunjhunu,barmer 
mh_palghar,rajsamand 
mh_palghar,jodhpur 
mh_palghar,udaipur 
mh_palghar,ajmer 
mh_palghar,nagaur 
mh_palghar,sirohi 
mh_palghar,barmer 
mh_palghar,jalor 
or_jagatsinghpur,jodhpur 
or_jagatsinghpur,bikaner 
or_jagatsinghpur,barmer 
gj_kutch,banas kantha  
gj_kutch,patan 
gj_kutch,barmer 
gj_kutch,surendranagar  
gj_kutch,morbi  
gj_kutch,jalor 
up_sitapur,pali 
